b,n,c,m,dis
201001,8,201621,101,352.9576183759608
201001,8,201622,76,451.24533720101135
201001,8,201623,26,156.3753931614996
201001,8,201624,11,67.87962916769695
201001,8,201625,56,137.63066736523737
201001,8,201626,66,357.36234406417935
201001,8,201701,9,20.457795057663926
201001,8,201702,46,123.8146706869694
201001,8,201703,19,161.69571390764784
201001,8,201704,44,154.4692530889243
201001,8,201705,115,407.27573132789456
201001,8,201706,24,181.90133837632118
201001,8,201707,25,85.20626087974343
201001,8,201709,68,217.46233678724212
201001,8,201710,80,173.5658222558366
201001,8,201711,26,178.11024310115477
201001,8,201712,33,286.0876397406704
201001,8,201713,84,265.07309313714717
201001,8,201714,51,172.2831154760149
201001,8,201715,37,211.9583164730224
201001,8,201716,81,138.26259040714493
201001,8,201717,38,70.73634193206539
201001,8,201718,120,477.5022920479952
201001,8,201719,80,253.83813572993546
201001,8,201720,85,242.03465542267793
201001,8,201721,51,329.11213340386945
201001,8,201722,37,199.40979836085708
201001,8,201723,66,234.08643273801238
201001,8,201724,62,135.67306261775002
201001,8,201725,23,97.46436373260845
201001,8,201726,64,122.63786773829933
201001,8,201727,43,166.36976603622742
201001,8,201801,19,99.0276006187956
201001,8,201802,29,94.23750894366898
201001,8,201803,42,168.93115318224912
201001,8,201804,108,199.40222255504108
201001,8,201805,37,177.33221629209098
201001,8,201806,22,81.38082428581417
201001,8,201807,46,159.90429096097535
201001,8,201808,71,471.8050339493423
201001,8,201809,51,205.54589022165584
201001,8,201810,112,261.22129972987926
201001,8,201811,18,144.1264930677077
201001,8,201812,104,241.04027958749214
201001,8,201813,43,233.1053874931287
201001,8,201814,83,187.3909477075061
201001,8,201815,21,116.89002340844823
201001,8,201817,8,125.12582877636825
201001,8,201818,94,214.72894862738326
201001,8,201819,78,363.804219175795
201001,8,201820,36,246.07398804507474
201001,8,201821,48,431.9313075542851
201001,8,201822,105,599.8654164744938
201001,8,201823,63,134.40661818150556
201001,8,201824,69,491.52679185664647
201001,8,201825,54,392.40687690579153
201001,8,201826,86,499.58494726169397
201001,8,201827,9,64.99417517895591
201001,8,201828,37,180.1220428848183
201001,8,201829,27,115.61235804474943
201001,8,201901,30,132.47513026927032
201001,8,201902,52,343.1468196125236
201001,8,201903,6,143.18478730885946
201001,8,201904,47,145.41847824875566
201001,8,201905,94,191.73122069452063
201001,8,201906,9,61.931869369141786
201001,8,201907,77,199.9365012834189
201001,8,201908,29,150.20410821903016
201001,8,201909,158,587.3732497445594
201001,8,201910,62,219.14952916642588
201001,8,201911,61,161.47294382778676
201001,8,201912,52,166.77971931630287
201001,8,201913,127,568.6332860780875
201001,8,201914,26,103.03632789038471
201001,8,201915,31,236.60703436560948
201001,8,201916,6,56.73849568949544
201001,8,201917,65,221.34902080422452
201001,8,201918,85,270.90691905377537
201001,8,201919,44,431.0350083480209
201001,8,201920,27,115.00712830272548
201001,8,201921,36,279.4574618381534
201001,8,201922,33,116.25418536287464
201001,8,201923,33,303.9242489517727
201001,8,201924,135,267.33305197229765
201001,8,201925,33,210.64117023365253
201001,8,201926,58,106.1713007591746
201001,8,201927,25,71.5987441917117
201001,8,201928,88,295.6195848528163
201001,8,201929,82,264.75318223299513
201001,8,202001,32,155.3177346644571
201001,8,202002,54,131.75127684788853
201001,8,202003,33,128.75914756598107
201001,8,202004,98,244.37666602011106
201001,8,202005,36,242.18916317465724
201001,8,202006,33,133.44798157414667
201001,8,202007,50,162.32061058097523
201001,8,202008,133,422.3815880150387
201001,8,202009,103,501.77329917875403
201001,8,202010,47,368.8069845571554
201001,8,202011,62,166.55039407408725
201001,8,202012,18,76.275040270273
201001,8,202013,20,169.16661640493405
201001,8,202014,32,140.81772746224945
201001,8,202015,17,82.02905299017866
201001,8,202016,66,167.03771565592137
201001,8,202017,127,273.1885276294955
201001,8,202018,66,322.75775866618727
201001,8,202019,124,399.55593932683394
201001,8,202020,99,168.78358012480632
201001,8,202021,45,146.0954156690773
201001,8,202022,97,364.8215085037244
201001,8,202023,36,102.54337548639533
201002,75,201001,8,230.40858238174383
201002,75,201002,75,0.0
201002,75,201003,85,92.57607801035977
201002,75,201004,65,171.8027741533681
201002,75,201005,42,85.0627117782224
201002,75,201006,124,181.8544731388244
201002,75,201007,49,218.6889851541962
201002,75,201008,36,193.660286696464
201002,75,201009,67,195.34303186932493
201002,75,201010,66,127.89745517780658
201002,75,201011,97,240.72673934767408
201002,75,201012,19,272.0065602723008
201002,75,201013,141,369.3689984865502
201002,75,201014,45,216.36831665368302
201002,75,201101,57,179.9008169688341
201002,75,201102,63,314.991980932766
201002,75,201103,34,180.64373388359917
201002,75,201104,100,133.17815053611375
201002,75,201105,80,205.12142793916047
201002,75,201106,40,279.6902668214347
201002,75,201107,2,247.64610668420397
201002,75,201108,82,65.90473591316649
201002,75,201109,125,313.4564473823986
201002,75,201110,24,349.4906151242692
201002,75,201111,107,255.24572713129058
201002,75,201112,40,225.81818040051735
201002,75,201113,5,351.2802484300291
201002,75,201114,11,241.08163170771255
201002,75,201115,55,245.52173636355096
201002,75,201116,21,300.84701971388927
201002,75,201117,80,117.73202058628176
201002,75,201118,47,163.67851582738814
201002,75,201119,82,111.89966226751719
201002,75,201120,19,191.737240203147
201002,75,201121,18,146.87545438533664
201002,75,201201,10,162.98571871637864
201002,75,201202,14,223.47405944483862
201002,75,201203,27,166.67859234722715
201002,75,201204,34,281.9116868822561
201002,75,201205,81,159.57589255434382
201002,75,201206,42,119.66496206848998
201002,75,201207,30,209.5219195340544
201002,75,201208,82,125.63074311801077
201002,75,201209,116,179.7895645261079
201002,75,201210,75,227.8917550022422
201002,75,201211,101,189.1354582790376
201002,75,201212,4,399.2424590507515
201002,75,201213,77,97.56976269013158
201002,75,201214,228,289.0965373229294
201002,75,201215,82,310.5309392568867
201002,75,201216,48,325.66107430069883
201002,75,201217,86,438.46228660310885
201002,75,201218,16,259.06465448763015
201002,75,201219,6,276.66909921337526
201002,75,201220,45,159.74511337988164
201002,75,201221,76,248.80172246770536
201002,75,201222,13,238.70707526635601
201002,75,201223,78,96.5444517765323
201002,75,201224,66,245.1722549869471
201002,75,201225,12,203.01342381662903
201002,75,201301,37,174.496834082728
201002,75,201302,11,255.9018357699873
201002,75,201303,20,207.78934281866094
201002,75,201304,52,200.5990587406441
201002,75,201305,68,111.75655337731753
201002,75,201306,59,129.41480289669806
201002,75,201307,71,268.30668696797
201002,75,201308,47,154.60876456372088
201002,75,201309,58,109.16781663023305
201002,75,201310,35,141.88662563985565
201002,75,201311,99,183.10009095217103
201002,75,201312,88,151.5938715717159
201002,75,201313,28,460.22815135397923
201002,75,201314,2,488.9651177370799
201002,75,201315,84,161.286331625562
201002,75,201316,5,542.78405394851
201002,75,201317,37,185.0974519902063
201002,75,201318,15,234.01874311232453
201002,75,201319,91,317.4332834007635
201002,75,201320,24,270.0277174325224
201002,75,201321,71,148.3375100341006
201002,75,201322,12,282.01292507629853
201002,75,201323,83,207.42896862053047
201002,75,201324,27,263.6968889667628
201002,75,201325,98,101.31939414726891
201002,75,201326,22,264.37405009122654
201002,75,201327,45,269.2245348214946
201002,75,201328,24,434.05933056156323
201002,75,201329,108,148.1655458297541
201002,75,201330,85,301.00267538580215
201002,75,201331,15,220.62633641449136
201002,75,201401,8,291.6678768729947
201002,75,201402,8,178.38928516852425
201002,75,201403,20,303.83657874491763
201002,75,201404,19,235.40204094085698
201002,75,201405,13,273.5302080671799
201002,75,201406,6,235.46507606851605
201002,75,201407,40,182.4182261747966
201002,75,201408,76,318.2377328278414
201002,75,201409,107,255.767238851129
201002,75,201410,112,193.40071358189456
201002,75,201411,75,328.07197172475526
201002,75,201412,92,171.53209987845213
201002,75,201413,19,501.0842315348859
201002,75,201414,20,246.51548615672183
201002,75,201415,69,156.5108593705213
201002,75,201416,125,177.3251132924939
201002,75,201417,21,276.6352708475966
201002,75,201418,34,310.0854219905684
201002,75,201419,65,366.75937698904255
201002,75,201420,25,264.1614931354388
201002,75,201421,58,100.61652208004665
201002,75,201422,102,260.4427899811144
201002,75,201423,24,156.6159101326979
201002,75,201501,27,128.38106714620503
201002,75,201502,16,329.0737875345857
201002,75,201503,24,254.68562794339041
201002,75,201504,50,232.4244358530711
201002,75,201505,10,349.21972157377354
201002,75,201506,69,371.39391192127505
201002,75,201507,44,317.3729353141665
201002,75,201508,79,120.40061001966264
201002,75,201509,113,331.0138182947925
201002,75,201510,119,124.0118033978742
201002,75,201511,58,340.8438051373379
201002,75,201512,58,259.927050878168
201002,75,201513,107,316.73595530759604
201002,75,201514,25,298.21248869151736
201002,75,201515,124,376.2779576969018
201002,75,201516,46,390.82683618722484
201002,75,201517,40,409.30244387181534
201002,75,201518,11,266.8773156309872
201002,75,201519,23,158.24303094656912
201002,75,201520,20,277.9658490476182
201002,75,201521,80,284.323557438854
201002,75,201522,75,116.91993597574124
201002,75,201523,23,329.1367464324636
201002,75,201524,53,182.27807055429074
201002,75,201525,46,309.49404418601245
201002,75,201526,38,245.06345189469903
201002,75,201527,40,178.74485692216118
